metric,label,r_rounds_won,p_value,cup_winner_mean,non_cup_mean,cup_vs_field_diff,playoff_mean,non_playoff_mean,n
pk_pct,Penalty Kill %,0.3191340993702339,0.0005083682269177349,0.785715,0.7905034824561403,-0.004788482456140275,0.8080436470588235,0.77645134375,115
pp_pct,Power Play %,0.29966306296476825,0.0011398121055338922,0.186363,0.19967915789473684,-0.013316157894736835,0.21706201960784316,0.185619125,115
shots_against_pg,Shots Against / Game,-0.24283805846401224,0.008923673945238995,35.20731,31.391337368421052,3.8159726315789477,30.72292411764706,31.983603749999997,115
pct_under_25,% Roster Under 25,-0.23987458623284807,0.0003304165949744327,0.23426606107297726,0.3490548213240715,-0.11478876025109425,0.2908069062709186,0.4020200543258813,220
shots_for_pg,Shots For / Game,0.22219736106026902,0.01700095273406301,30.03658,30.829142280701753,-0.7925622807017518,31.84654666666667,30.006014375,115
avg_age_toi,Avg Age (TOI-weighted),0.16137415539462394,0.01659079536550696,27.693897849791192,27.189925721206972,0.5039721285842198,27.64700191391872,26.74858564080302,220
goalie_top_start_pct,Goalie #1 Start %,0.11372622034667353,0.09243578027639489,0.6766370285038926,0.6175547101692358,0.059082318334656825,0.638581992437035,0.5995780491909865,220
toi_top4D_avg,Top-4 D Avg TOI/Game (min),0.10332521122480574,0.12740735496577163,21.699467202380955,21.6376261379717,0.06184106440925419,21.84267690848214,21.427039232866044,219
toi_gini,TOI Gini (inequality),-0.058354109881875706,0.3890536287647431,0.40621249945041044,0.40832167080420273,-0.002109171353792294,0.4056641353858451,0.41094092790956854,220
pts_top1_share,Points — Top 1 Share,-0.05595976606646796,0.40884010493252443,0.11293266786967589,0.12195142679218766,-0.009018758922511777,0.1206117210209993,0.12275620210622014,220
pct_over_32,% Roster Over 32,0.040155898162300925,0.5535464581412172,0.09651147701447292,0.13683269461183595,-0.04032121759736303,0.14702039056849267,0.12365426433102955,220
pts_top3_share,Points — Top 3 Share,-0.035754828398919344,0.5978621283996143,0.3081884223914848,0.31781549398643333,-0.009627071594948522,0.31533585670633624,0.3197629928216763,220
pts_top6_share,Points — Top 6 Share,-0.028304446272694732,0.6763018746292537,0.5243499459176827,0.5326134166995135,-0.008263470781830762,0.5275723142626003,0.5373056313056379,220
pts_gini,Points Gini (inequality),-0.014318284861462378,0.8327503501395391,0.5349189787116563,0.5353643194618484,-0.0004453407501920914,0.5363358502525138,0.5343279413710531,220
