season,team,avg_age_toi,pct_under_25,pct_over_32,pts_top1_share,pts_top3_share,pts_top6_share,pts_gini,toi_gini,toi_top4D_avg,goalie_top_start_pct,goalie_sv_pct,pp_pct,pk_pct,shots_for_pg,shots_against_pg,team_points,games_played,cap_hit_total,cap_pct_ceiling,cap_hit_top1,cap_top1_share,cap_top3_share,cap_gini,cap_fwd_pct,cap_def_pct,cap_goalie_pct
20172018,ANA,27.869439427669835,0.32781065088757394,0.2781065088757396,0.09915014164305949,0.25920679886685555,0.44192634560906513,0.5822619307038572,0.49305770090029744,22.804377083333332,0.7441860465116279,,0.176991,0.82313,30.31395,33.08139,101.0,86.0,,,,,,,,,
20172018,ARI,25.670354162284543,0.42986741102581993,0.10746685275645498,0.12126865671641791,0.30970149253731344,0.5223880597014925,0.5437810945273631,0.4235308444309831,22.198291666666666,0.5,,0.168724,0.8,29.87804,32.21951,70.0,82.0,,,,,,,,,
20172018,BOS,27.752898878497902,0.35826771653543305,0.187289088863892,0.11819235225955968,0.32560834298957125,0.52954808806489,0.5699338831708813,0.41091471724795325,21.366107083333336,0.6914893617021277,,0.25,0.824373,32.77659,29.25531,122.0,94.0,,,,,,,,,
20172018,BUF,26.053949933273447,0.42572214580467677,0.08940852819807428,0.13034623217922606,0.3564154786150713,0.5987780040733197,0.6141727566790465,0.44407273241752954,22.118401666666664,0.6097560975609756,,0.190661,0.778724,31.18292,32.69512,62.0,82.0,,,,,,,,,
20172018,CGY,26.83294936651318,0.39872611464968155,0.1681528662420382,0.13614262560777957,0.3192868719611021,0.5299837925445705,0.5337115072933549,0.4050794496238195,22.674206666666667,0.6875,,,,,,,,,,,,,,,,
20172018,CAR,25.216247146805838,0.5356401384083045,0.08235294117647059,0.1069078947368421,0.29605263157894735,0.524671052631579,0.5157424812030074,0.3976882493378602,21.154947916666668,0.5121951219512195,,0.1841,0.77487,33.90243,28.86585,83.0,82.0,,,,,,,,,
20172018,CHI,26.90476974925354,0.4717407686510927,0.17558402411454407,0.13403880070546736,0.31746031746031744,0.527336860670194,0.48494583018392534,0.396549402181849,20.94854875,0.36585365853658536,,0.159851,0.79149,34.06097,32.89024,76.0,82.0,,,,,,,,,
20172018,COL,24.85269204849634,0.6376456161863887,0.0,0.14345403899721448,0.362116991643454,0.564066852367688,0.5613262647138109,0.38514203033300465,22.589834166666666,0.5340909090909091,,0.171314,0.751038,33.60227,31.70454,101.0,88.0,,,,,,,,,
20172018,CBJ,25.745730723135605,0.5283648498331479,0.09566184649610679,0.11649214659685864,0.2709424083769634,0.4607329842931937,0.5289454001495888,0.4140980118948543,21.669612916666665,0.8068181818181818,,,,,,,,,,,,,,,,
20172018,DAL,27.09882457047887,0.3619718309859155,0.13661971830985917,0.1314475873544093,0.3810316139767055,0.6039933444259568,0.48571221876582515,0.3115800949936738,21.48931041666667,0.6219512195121951,,0.192622,0.80783,31.21951,29.84146,92.0,82.0,,,,,,,,,
20172018,DET,29.301370892623037,0.30093592512598993,0.30669546436285094,0.11538461538461539,0.3058608058608059,0.5036630036630036,0.42841880341880345,0.32547705780431113,20.602164583333334,0.890625,,0.175213,0.775194,30.36585,31.86585,73.0,82.0,,,,,,,,,
20172018,EDM,24.92008489368514,0.6684370257966616,0.05007587253414264,0.19320214669051877,0.40429338103756707,0.5778175313059034,0.5161001788908766,0.37672704819935254,20.699450000000002,0.788235294117647,,0.147619,0.767347,33.41463,32.12195,78.0,82.0,,,,,,,,,
20172018,FLA,25.836423401022362,0.42371752165223187,0.07794803464357095,0.12037037037037036,0.33641975308641975,0.5740740740740741,0.535163139329806,0.4050762737117133,21.994116666666667,0.5121951219512195,,,,,,,,,,,,,,,,
