season,team,league_rank,made_playoffs,rounds_won,won_cup
20232024,LAK,12,1,0,0
20232024,TBL,13,1,0,0
20232024,VGK,14,1,0,0
20232024,NYI,15,1,0,0
20232024,STL,16,0,0,0
20232024,WSH,18,1,0,0
20232024,DET,17,0,0,0
20232024,PIT,19,0,0,0
20232024,MIN,20,0,0,0
20232024,PHI,21,0,0,0
20232024,BUF,22,0,0,0
20232024,NJD,24,0,0,0
20232024,CGY,23,0,0,0
20232024,SEA,25,0,0,0
20232024,OTT,26,0,0,0
20232024,ARI,27,0,0,0
20232024,MTL,28,0,0,0
20232024,CBJ,29,0,0,0
20232024,ANA,30,0,0,0
20232024,CHI,31,0,0,0
20232024,SJS,32,0,0,0
